[INFO 1681826915.799819761] [BEW_logger]: camera_name;time_since_last_image;message
[INFO 1681826915.806873897] [BEW_logger]: fp_p;1681826915806.1536;
[INFO 1681826915.811106514] [BEW_logger]: fp_f;1681826915810.5076;
[INFO 1681826915.816748117] [BEW_logger]: fs_f;1681826915816.1592;
[INFO 1681826915.820345287] [BEW_logger]: fs_s;1681826915819.8394;
[INFO 1681826915.823838214] [BEW_logger]: ap_p;1681826915823.3357;
[INFO 1681826915.827857901] [BEW_logger]: fp_p;21.182406;
[INFO 1681826915.830105584] [BEW_logger]: fp_f;19.0275;
[INFO 1681826915.832152530] [BEW_logger]: fs_f;15.494728;
[INFO 1681826915.834243586] [BEW_logger]: fs_s;13.899257;
[INFO 1681826915.836699447] [BEW_logger]: ap_p;12.849367;
[INFO 1681826915.838744666] [BEW_logger]: ap_a;1681826915838.2344;
[INFO 1681826915.842184660] [BEW_logger]: as_a;1681826915841.6748;
[INFO 1681826915.845636067] [BEW_logger]: as_s;1681826915845.1296;
[INFO 1681826916.024511052] [BEW_logger]: BEW;1681826916023.9153;
[INFO 1681826916.027438075] [BEW_logger]: fp_p;199.56076;
[INFO 1681826916.029947904] [BEW_logger]: fp_f;199.882363;
[INFO 1681826916.032237240] [BEW_logger]: ap_a;193.475804;
[INFO 1681826916.034451456] [BEW_logger]: as_a;192.218668;
[INFO 1681826916.036727569] [BEW_logger]: as_s;191.075832;
[INFO 1681826916.038968861] [BEW_logger]: fp_p;11.527013;
[INFO 1681826916.041011231] [BEW_logger]: fp_f;11.077922;
[INFO 1681826916.438438379] [BEW_logger]: ap_a;405.991139;
[INFO 1681826916.746409810] [BEW_logger]: ap_p;909.477607;
[INFO 1681826917.052756956] [BEW_logger]: fs_f;1220.261213;
[INFO 1681826917.362175261] [BEW_logger]: fs_s;1527.704662;
[INFO 1681826917.542012098] [BEW_logger]: BEW;1517.407457;
[INFO 1681826917.670777131] [BEW_logger]: as_s;1633.831247;
[INFO 1681826917.958147667] [BEW_logger]: fp_f;1916.865481;
[INFO 1681826918.266246310] [BEW_logger]: as_a;2231.257269;
[INFO 1681826918.555944295] [BEW_logger]: fp_p;2516.797868;
[INFO 1681826918.857881659] [BEW_logger]: ap_a;2419.447026;
[INFO 1681826919.166906865] [BEW_logger]: ap_p;2420.509613;
[INFO 1681826919.472065298] [BEW_logger]: fs_f;2419.259417;
[INFO 1681826919.778841114] [BEW_logger]: fs_s;2416.152281;
[INFO 1681826919.953511956] [BEW_logger]: BEW;2411.596123;
[INFO 1681826920.069783415] [BEW_logger]: as_s;2398.844992;
[INFO 1681826920.376669304] [BEW_logger]: fp_f;2418.111042;
[INFO 1681826920.682804384] [BEW_logger]: as_a;2416.925048;
[INFO 1681826920.994278592] [BEW_logger]: fp_p;2438.224145;
[INFO 1681826921.301397357] [BEW_logger]: ap_a;2442.996966;
[INFO 1681826921.611152391] [BEW_logger]: ap_p;2443.701483;
